Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,2.2306771,0.5625,1,11880,1079
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,466,1,r2
 , , , , , , ,d1,248,178,3,r2
 , , , , , , ,d2,94,610,2,r2
 , , , , , , ,d3,557,538,4,r2
 , , , , , , ,d4,1019,682,4,r2
 , , , , , , ,d5,865,394,2,r2


2,1.8970047,0.71428573,1,26984,6079
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,106,1,r1
 , , , , , , ,d1,1019,466,1,r2
 , , , , , , ,d2,1019,682,1,r2
 , , , , , , ,d3,557,178,3,r1
 , , , , , , ,d4,557,178,1,r1


3,1.6593444,0.71428573,2,11221,6361
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,610,1,r2
 , , , , , , ,d1,403,106,2,r2
 , , , , , , ,d2,865,538,4,r2


4,1.4230249,0.5714286,1,4000,922
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,106,3,r2
 , , , , , , ,d1,557,250,4,r2


5,1.8439089,1.0,2,2594,1000
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,178,2,r2


6,2.3609285,0.85714287,1,9423,829
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,682,2,r2
 , , , , , , ,d1,403,106,2,r2
 , , , , , , ,d2,557,106,1,r2
 , , , , , , ,d3,557,394,3,r2
 , , , , , , ,d4,557,394,2,r2
 , , , , , , ,d5,248,322,4,r2


7,3.3710966,0.90909094,2,12845,1672
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,466,1,r2
 , , , , , , ,d1,1179,322,4,r2
 , , , , , , ,d2,865,682,3,r2
 , , , , , , ,d3,1019,178,2,r2
 , , , , , , ,d4,865,538,1,r2


8,1.8366151,0.5,0,5298,3126
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,106,3,r2
 , , , , , , ,d1,403,250,3,r2


9,1.5565901,0.64285713,1,14215,1734
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,682,1,r2
 , , , , , , ,d1,1019,394,4,r2
 , , , , , , ,d2,557,682,3,r2
 , , , , , , ,d3,403,682,4,r2
 , , , , , , ,d4,248,538,2,r1


10,1.8439089,1.0,1,2532,813
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,466,3,r2


