Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,3.7249923,0.6666667,2,13192,2743
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,250,4,r1
 , , , , , , ,d1,1179,322,4,r1
 , , , , , , ,d2,248,178,2,r2
 , , , , , , ,d3,94,322,2,r2


2,1.5889314,0.625,2,15504,2432
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,682,3,r1
 , , , , , , ,d1,557,394,3,r1
 , , , , , , ,d2,1019,394,3,r2
 , , , , , , ,d3,1179,178,2,r2
 , , , , , , ,d4,94,682,3,r1
 , , , , , , ,d5,865,178,2,r2


3,5.0,1.0,1,5359,2008
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,466,2,r1


4,2.9417439,0.5,0,16936,1753
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,250,4,r1
 , , , , , , ,d1,248,610,2,r2
 , , , , , , ,d2,94,250,4,r1
 , , , , , , ,d3,248,322,1,r2
 , , , , , , ,d4,1019,106,3,r2


5,2.282898,0.8,2,21584,3072
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,322,4,r1
 , , , , , , ,d1,865,610,4,r1
 , , , , , , ,d2,1333,466,4,r1
 , , , , , , ,d3,1179,610,4,r2
 , , , , , , ,d4,557,322,3,r2
 , , , , , , ,d5,557,610,1,r2


6,1.969109,0.6666667,2,9801,1472
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,250,3,r1
 , , , , , , ,d1,1179,106,3,r1
 , , , , , , ,d2,557,682,1,r2
 , , , , , , ,d3,403,106,2,r2


7,3.3617907,0.5,0,7504,1968
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,394,4,r1
 , , , , , , ,d1,94,610,3,r1
 , , , , , , ,d2,248,610,4,r2
 , , , , , , ,d3,1179,106,3,r2


8,2.0015411,0.5,0,9248,2129
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,538,2,r1
 , , , , , , ,d1,865,610,3,r2
 , , , , , , ,d2,1179,682,2,r2
 , , , , , , ,d3,94,178,3,r1


9,2.8376791,0.53846157,1,29497,2137
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,250,3,r1
 , , , , , , ,d1,248,682,1,r2
 , , , , , , ,d2,865,394,3,r2
 , , , , , , ,d3,403,178,1,r2
 , , , , , , ,d4,94,178,2,r1
 , , , , , , ,d5,94,394,2,r2
 , , , , , , ,d6,403,106,1,r1


10,3.0804977,0.7058824,1,11583,1975
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,322,3,r2
 , , , , , , ,d1,1333,178,1,r2
 , , , , , , ,d2,403,250,1,r2
 , , , , , , ,d3,1333,538,4,r1
 , , , , , , ,d4,403,394,3,r1
 , , , , , , ,d5,94,322,3,r1
 , , , , , , ,d6,403,250,2,r2


