Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,1.660258,0.5294118,1,10320,1951
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,394,4,r2
 , , , , , , ,d1,94,610,1,r1
 , , , , , , ,d2,94,682,4,r1
 , , , , , , ,d3,865,178,1,r2
 , , , , , , ,d4,248,106,4,r1
 , , , , , , ,d5,1333,178,3,r2


2,1.8790802,0.8,1,4768,1449
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,106,1,r2
 , , , , , , ,d1,94,106,4,r1


3,2.6488268,0.6666667,2,25592,6472
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,322,3,r1
 , , , , , , ,d1,1019,106,2,r2
 , , , , , , ,d2,865,682,2,r2
 , , , , , , ,d3,557,394,2,r1
 , , , , , , ,d4,1019,322,3,r2
 , , , , , , ,d5,865,178,3,r1


4,1.7541852,1.0,2,8743,4929
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,106,2,r2
 , , , , , , ,d1,1019,682,3,r1


5,2.2603376,1.0,1,10328,4312
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,538,2,r2
 , , , , , , ,d1,557,682,3,r1


6,2.408319,1.0,1,6856,2649
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,250,2,r2


7,2.4706805,0.8,2,48185,4601
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,394,4,r1
 , , , , , , ,d1,865,682,3,r2
 , , , , , , ,d2,1019,178,3,r2
 , , , , , , ,d3,1019,682,1,r1
 , , , , , , ,d4,1019,394,1,r2
 , , , , , , ,d5,248,538,3,r1


8,3.5412478,0.5714286,2,18408,2456
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,322,1,r1
 , , , , , , ,d1,865,322,3,r2
 , , , , , , ,d2,403,466,1,r1
 , , , , , , ,d3,248,250,4,r1
 , , , , , , ,d4,1019,682,1,r1
 , , , , , , ,d5,1179,466,4,r2


9,2.928387,1.0,2,27677,5486
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,322,3,r1
 , , , , , , ,d1,865,394,1,r1
 , , , , , , ,d2,1179,250,3,r2
 , , , , , , ,d3,1179,322,4,r1
 , , , , , , ,d4,1019,682,4,r2


10,1.8920822,0.6875,2,27048,5985
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,538,4,r2
 , , , , , , ,d1,1019,106,3,r2
 , , , , , , ,d2,557,394,4,r1
 , , , , , , ,d3,865,178,4,r1
 , , , , , , ,d4,557,682,1,r2


