Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,2.0957265,1.0,2,4560,1568
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,106,2,r1
 , , , , , , ,d1,1179,178,4,r2


2,2.3610766,0.5294118,2,20496,4888
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,178,2,r1
 , , , , , , ,d1,94,610,4,r1
 , , , , , , ,d2,865,682,4,r2
 , , , , , , ,d3,403,322,2,r1
 , , , , , , ,d4,865,466,3,r1
 , , , , , , ,d5,94,106,1,r1
 , , , , , , ,d6,403,322,1,r1


3,2.577808,0.8333333,1,19728,4569
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,250,3,r1
 , , , , , , ,d1,403,538,2,r2
 , , , , , , ,d2,1333,178,2,r1
 , , , , , , ,d3,94,178,2,r2
 , , , , , , ,d4,94,250,3,r2


4,2.6233275,0.6086956,2,18104,4233
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,178,3,r2
 , , , , , , ,d1,865,538,3,r1
 , , , , , , ,d2,1333,610,4,r2
 , , , , , , ,d3,1179,322,3,r2
 , , , , , , ,d4,1019,250,4,r1
 , , , , , , ,d5,248,682,2,r1
 , , , , , , ,d6,557,322,4,r1


5,3.1494613,0.5555556,1,8103,1784
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,178,2,r1
 , , , , , , ,d1,1179,682,3,r2
 , , , , , , ,d2,1333,394,1,r1
 , , , , , , ,d3,557,178,3,r1


6,2.5424147,0.5555556,2,8417,1977
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,610,2,r2
 , , , , , , ,d1,1333,466,2,r2
 , , , , , , ,d2,557,682,2,r1
 , , , , , , ,d3,248,682,2,r1
 , , , , , , ,d4,1019,538,1,r2


7,2.4895093,0.64705884,2,28151,7128
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,538,2,r1
 , , , , , , ,d1,865,178,3,r1
 , , , , , , ,d2,1019,178,4,r2
 , , , , , , ,d3,403,106,4,r1
 , , , , , , ,d4,1179,322,4,r2


8,2.4122653,0.7647059,1,18864,2856
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,178,3,r1
 , , , , , , ,d1,94,178,4,r2
 , , , , , , ,d2,865,538,3,r2
 , , , , , , ,d3,1333,250,1,r1
 , , , , , , ,d4,403,466,2,r2
 , , , , , , ,d5,557,178,4,r1


9,1.916818,0.75,1,8624,2241
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,610,1,r1
 , , , , , , ,d1,94,178,2,r1
 , , , , , , ,d2,94,682,1,r1


10,3.0733423,0.7,2,7784,2528
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,610,2,r1
 , , , , , , ,d1,1333,466,3,r2
 , , , , , , ,d2,403,322,1,r1
 , , , , , , ,d3,1019,178,4,r2


