Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,2.4625072,0.6923077,2,12336,3760
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,106,4,r2
 , , , , , , ,d1,94,538,2,r1
 , , , , , , ,d2,865,538,2,r2
 , , , , , , ,d3,1019,250,3,r1
 , , , , , , ,d4,557,682,1,r2
 , , , , , , ,d5,94,322,1,r1


2,2.024034,0.6666667,2,80864,20760
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,538,4,r2
 , , , , , , ,d1,1019,178,3,r1
 , , , , , , ,d2,1019,178,3,r1
 , , , , , , ,d3,865,394,2,r1


3,4.5692444,0.8,1,59648,52137
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,322,3,r2
 , , , , , , ,d1,1179,466,2,r1
 , , , , , , ,d2,248,322,4,r1
 , , , , , , ,d3,248,610,4,r2
 , , , , , , ,d4,1333,394,1,r2
 , , , , , , ,d5,403,250,1,r1


4,2.5389364,0.53846157,2,21751,10111
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,466,1,r1
 , , , , , , ,d1,94,250,4,r1
 , , , , , , ,d2,557,538,1,r2
 , , , , , , ,d3,1333,610,3,r2
 , , , , , , ,d4,1019,466,4,r2


5,2.408319,1.0,2,6920,2072
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,250,1,r2


6,2.785254,1.0,1,22952,2545
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,106,2,r1
 , , , , , , ,d1,94,466,4,r1
 , , , , , , ,d2,403,682,4,r2


7,2.92851,0.7777778,2,24808,7968
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,322,4,r1
 , , , , , , ,d1,1333,466,4,r2
 , , , , , , ,d2,1333,178,1,r2
 , , , , , , ,d3,1179,610,4,r1
 , , , , , , ,d4,865,466,1,r1
 , , , , , , ,d5,1019,394,4,r2


8,5.2018504,0.6666667,1,21104,13768
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,322,4,r2
 , , , , , , ,d1,1333,394,1,r1
 , , , , , , ,d2,1333,322,1,r1


9,1.8027756,1.0,1,28664,22040
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,106,3,r2


10,0.0,1.0,2,28288,2848
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,394,2,r2


