Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,2.544017,0.5,0,10792,1640
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,610,1,r1
 , , , , , , ,d1,403,322,1,r1
 , , , , , , ,d2,1019,538,2,r2
 , , , , , , ,d3,1179,250,1,r2
 , , , , , , ,d4,1333,538,1,r2
 , , , , , , ,d5,557,250,4,r1
 , , , , , , ,d6,1333,178,2,r2


2,6.0827627,1.0,1,24558,15990
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,322,3,r2


3,2.9208097,0.6666667,2,6208,2096
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,466,2,r1
 , , , , , , ,d1,1179,178,4,r2


4,2.408319,1.0,2,2528,1281
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,538,2,r2


5,2.3914232,0.7,1,8832,2976
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,250,1,r2
 , , , , , , ,d1,1019,682,1,r2
 , , , , , , ,d2,403,250,2,r1
 , , , , , , ,d3,94,178,1,r1
 , , , , , , ,d4,403,250,4,r1
 , , , , , , ,d5,1179,250,1,r2


6,3.7830415,0.68421054,1,9168,1385
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,394,2,r1
 , , , , , , ,d1,1333,322,3,r2
 , , , , , , ,d2,94,538,2,r1
 , , , , , , ,d3,94,322,3,r1
 , , , , , , ,d4,248,610,4,r2
 , , , , , , ,d5,1333,178,3,r2
 , , , , , , ,d6,557,538,2,r2


7,3.669535,0.72727275,2,11400,2697
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,394,1,r1
 , , , , , , ,d1,865,682,4,r2
 , , , , , , ,d2,1333,394,2,r2
 , , , , , , ,d3,557,394,2,r1
 , , , , , , ,d4,1179,322,2,r2


8,3.2394745,0.8181818,1,6448,1928
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,322,1,r2
 , , , , , , ,d1,248,610,2,r1
 , , , , , , ,d2,1333,178,1,r2
 , , , , , , ,d3,403,106,4,r2
 , , , , , , ,d4,94,322,3,r1


9,2.3221936,0.6666667,1,4728,1489
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,610,1,r2
 , , , , , , ,d1,94,610,2,r1


10,2.408319,1.0,1,2216,1168
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,538,1,r1


