incident_index,find_x_m,find_y_m,find_lat,find_lon,ipp_lat,ipp_lon,meters_per_cell,ground_width_m,find_cell_x,find_cell_y,find_pixel_x_in_framed_png,find_pixel_y_in_framed_png,v2_map_path
1,911.126,1028.516,31.406333000000,-111.196830000000,31.397083350000,-111.206430000000,2.666666667,8000.000,1841.672,1885.693,2102,1248,data/SAR_maps/v2/usgs_terrain/incident_001.png
2,-1028.510,53.781,31.429517000000,-110.304120000000,31.429033340000,-110.293280000000,2.666666667,8000.000,1114.309,1520.168,1374,1614,data/SAR_maps/v2/usgs_terrain/incident_002.png
3,2170.005,476.285,31.510000000000,-110.653330000000,31.505716670000,-110.676220000000,2.666666667,8000.000,2313.752,1678.607,2574,1455,data/SAR_maps/v2/usgs_terrain/incident_003.png
4,-373.564,2129.426,31.741767000000,-110.191780000000,31.722616640000,-110.187830000000,2.666666667,8000.000,1359.913,2298.535,1620,835,data/SAR_maps/v2/usgs_terrain/incident_004.png
5,-3763.992,3007.866,31.862267000000,-110.396550000000,31.835216650000,-110.356700000000,4.000000000,12000.000,559.002,2251.966,819,882,data/SAR_maps/v2/usgs_terrain/incident_005.png
6,169.976,-6994.173,31.839500000000,-109.276670000000,31.902400020000,-109.278470000000,6.666666667,20000.000,1525.496,450.874,1785,2683,data/SAR_maps/v2/usgs_terrain/incident_006.png
7,-6253.549,-107.526,31.921483000000,-110.033580000000,31.922450000000,-109.967320000000,6.666666667,20000.000,561.968,1483.871,822,1650,data/SAR_maps/v2/usgs_terrain/incident_007.png
8,746.799,-1447.390,31.999350000000,-109.307800000000,32.012366670000,-109.315720000000,2.666666667,8000.000,1780.049,957.229,2040,2177,data/SAR_maps/v2/usgs_terrain/incident_008.png
9,-1112.185,4243.946,32.371500000000,-110.864670000000,32.333333330000,-110.852830000000,4.000000000,12000.000,1221.954,2560.986,1482,573,data/SAR_maps/v2/usgs_terrain/incident_009.png
10,2818.076,3409.983,32.366500000000,-110.880170000000,32.335833330000,-110.910170000000,4.000000000,12000.000,2204.519,2352.496,2465,782,data/SAR_maps/v2/usgs_terrain/incident_010.png
11,1784.836,2538.918,32.359833000000,-110.897670000000,32.336999990000,-110.916670000000,2.666666667,8000.000,2169.313,2452.094,2429,682,data/SAR_maps/v2/usgs_terrain/incident_011.png
12,1642.898,-926.661,32.400833000000,-110.692330000000,32.409166650000,-110.709830000000,2.666666667,8000.000,2116.087,1152.502,2376,1981,data/SAR_maps/v2/usgs_terrain/incident_012.png
13,-2675.944,-6034.188,32.365500000000,-110.775830000000,32.419766680000,-110.747330000000,5.333333333,16000.000,998.261,368.590,1258,2765,data/SAR_maps/v2/usgs_terrain/incident_013.png
14,-469.258,-733.923,32.428833000000,-110.794330000000,32.435433320000,-110.789330000000,2.666666667,8000.000,1324.028,1224.779,1584,1909,data/SAR_maps/v2/usgs_terrain/incident_014.png
15,-2340.738,361.422,32.824667000000,-111.227170000000,32.821416660000,-111.202120000000,2.666666667,8000.000,622.223,1635.533,882,1498,data/SAR_maps/v2/usgs_terrain/incident_015.png
16,2418.072,526.286,33.375283000000,-111.089180000000,33.370550000000,-111.115220000000,2.666666667,8000.000,2406.777,1697.357,2667,1437,data/SAR_maps/v2/usgs_terrain/incident_016.png
17,-883.801,1373.260,33.401200000000,-111.375170000000,33.388849990000,-111.365650000000,2.666666667,8000.000,1168.574,2014.973,1429,1119,data/SAR_maps/v2/usgs_terrain/incident_017.png
18,-1155.624,2746.517,33.421500000000,-111.360500000000,33.396800010000,-111.348050000000,4.000000000,12000.000,1211.094,2186.629,1471,947,data/SAR_maps/v2/usgs_terrain/incident_018.png
19,2849.806,1365.809,33.409333000000,-111.317170000000,33.397050000000,-111.347870000000,4.000000000,12000.000,2212.452,1841.452,2472,1293,data/SAR_maps/v2/usgs_terrain/incident_019.png
20,-1825.575,4929.685,33.441667000000,-111.367670000000,33.397333340000,-111.348000000000,5.333333333,16000.000,1157.705,2424.316,1418,710,data/SAR_maps/v2/usgs_terrain/incident_020.png
21,-1593.787,2020.080,33.415667000000,-111.365000000000,33.397500010000,-111.347830000000,2.666666667,8000.000,902.330,2257.530,1162,876,data/SAR_maps/v2/usgs_terrain/incident_021.png
22,6762.800,-6932.975,33.415667000000,-111.364780000000,33.478016660000,-111.437670000000,6.666666667,20000.000,2514.420,460.054,2774,2674,data/SAR_maps/v2/usgs_terrain/incident_022.png
23,-714.099,-1517.847,33.590333000000,-112.522830000000,33.603983310000,-112.515120000000,2.666666667,8000.000,1232.213,930.807,1492,2203,data/SAR_maps/v2/usgs_terrain/incident_023.png
24,1952.120,-2920.726,33.679150000000,-111.316950000000,33.705416680000,-111.338050000000,4.000000000,12000.000,1988.030,769.819,2248,2364,data/SAR_maps/v2/usgs_terrain/incident_024.png
25,-1037.935,-2661.232,34.068767000000,-111.435920000000,34.092700000000,-111.424650000000,2.666666667,8000.000,1110.774,502.038,1371,2632,data/SAR_maps/v2/usgs_terrain/incident_025.png
26,-6385.671,1061.876,34.102333000000,-111.490330000000,34.092783330000,-111.420980000000,6.666666667,20000.000,542.149,1659.281,802,1475,data/SAR_maps/v2/usgs_terrain/incident_026.png
27,1525.786,0.000,34.550000000000,-111.616670000000,34.550000000000,-111.633330000000,2.666666667,8000.000,2072.170,1500.000,2332,1634,data/SAR_maps/v2/usgs_terrain/incident_027.png
28,-4536.149,-2190.503,34.540067000000,-111.703480000000,34.559766640000,-111.653950000000,5.333333333,16000.000,649.472,1089.281,909,2045,data/SAR_maps/v2/usgs_terrain/incident_028.png
29,-7625.557,3706.466,34.633333000000,-112.633330000000,34.600000000000,-112.550000000000,6.666666667,20000.000,356.166,2055.970,616,1078,data/SAR_maps/v2/usgs_terrain/incident_029.png
30,871.966,-354.010,34.627233000000,-112.545770000000,34.630416680000,-112.555300000000,2.666666667,8000.000,1826.987,1367.246,2087,1767,data/SAR_maps/v2/usgs_terrain/incident_030.png
31,761.322,-370.685,34.818333000000,-111.798330000000,34.821666650000,-111.806670000000,2.666666667,8000.000,1785.496,1360.993,2045,1773,data/SAR_maps/v2/usgs_terrain/incident_031.png
32,2932.730,867.361,34.831667000000,-111.743000000000,34.823866650000,-111.775130000000,4.000000000,12000.000,2233.182,1716.840,2493,1417,data/SAR_maps/v2/usgs_terrain/incident_032.png
33,7602.517,0.037,34.866667000000,-111.800000000000,34.866666670000,-111.883330000000,6.666666667,20000.000,2640.378,1500.006,2900,1634,data/SAR_maps/v2/usgs_terrain/incident_033.png
34,-258.104,1760.627,34.902667000000,-111.786830000000,34.886833320000,-111.784000000000,2.666666667,8000.000,1403.211,2160.235,1663,974,data/SAR_maps/v2/usgs_terrain/incident_034.png
35,-1158.200,1482.641,34.906667000000,-111.876030000000,34.893333310000,-111.863330000000,2.666666667,8000.000,1065.675,2055.990,1326,1078,data/SAR_maps/v2/usgs_terrain/incident_035.png
36,757.870,-1226.891,34.891833000000,-111.804820000000,34.902866680000,-111.813130000000,2.666666667,8000.000,1784.201,1039.916,2044,2094,data/SAR_maps/v2/usgs_terrain/incident_036.png
37,-6077.008,5559.791,34.966667000000,-111.866670000000,34.916666670000,-111.800000000000,5.333333333,16000.000,360.561,2542.461,621,592,data/SAR_maps/v2/usgs_terrain/incident_037.png
38,-644.673,-3109.796,34.897333000000,-111.741170000000,34.925300030000,-111.734100000000,4.000000000,12000.000,1338.832,722.551,1599,2411,data/SAR_maps/v2/usgs_terrain/incident_038.png
39,616.019,-3541.601,34.946833000000,-111.889670000000,34.978683340000,-111.896430000000,4.000000000,12000.000,1654.005,614.600,1914,2519,data/SAR_maps/v2/usgs_terrain/incident_039.png
40,-6807.312,1658.697,35.208717000000,-114.131950000000,35.193800000000,-114.057030000000,6.666666667,20000.000,478.903,1748.805,739,1385,data/SAR_maps/v2/usgs_terrain/incident_040.png
41,-166.200,-1249.054,35.232517000000,-111.601500000000,35.243750000000,-111.599670000000,2.666666667,8000.000,1437.675,1031.605,1698,2102,data/SAR_maps/v2/usgs_terrain/incident_041.png
42,1231.897,394.706,35.334233000000,-111.697500000000,35.330683330000,-111.711080000000,2.666666667,8000.000,1961.961,1648.015,2222,1486,data/SAR_maps/v2/usgs_terrain/incident_042.png
43,-975.731,850.606,36.246433000000,-112.700080000000,36.238783330000,-112.689200000000,2.666666667,8000.000,1134.101,1818.977,1394,1315,data/SAR_maps/v2/usgs_terrain/incident_043.png
44,340.252,4655.738,41.590060000000,-80.326470000000,41.548190000000,-80.330560000000,5.333333333,16000.000,1563.797,2372.951,1824,761,data/SAR_maps/v2/usgs_terrain/incident_044.png
45,5807.113,2862.161,42.035440000000,-74.355650000000,42.009700000000,-74.425950000000,5.333333333,16000.000,2588.834,2036.655,2849,1097,data/SAR_maps/v2/usgs_terrain/incident_045.png
