incident_index,center_lat,center_lon,IPP_lat,IPP_lon,find_lat,find_lon,found_east_km,found_north_km,ipp_to_found_km,zoom,size,scale,map_width_px,image_px,maptype,format,target_ground_width_km,actual_ground_width_km,visibility_ratio,found_inside_image,base_file,status,request_url_redacted
1,31.39708335,-111.20643,31.39708335,-111.20643,31.406333,-111.19683,0.9111256526441472,1.0285155738822087,1.3740430256286555,15,640,2,640,1280,terrain,png32,16.94568210046248,2.609796544583553,0.7881959810367744,True,data\maps\base\terrain\base_001.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=31.397083350000,-111.206430000000&zoom=15&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
2,31.42903334,-110.29328,31.42903334,-110.29328,31.429517,-110.30412,-1.028510428943612,0.05378061250579956,1.0299155576337273,15,640,2,640,1280,terrain,png32,16.94568210046248,2.6089079171004297,0.7884605065606994,True,data\maps\base\terrain\base_002.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=31.429033340000,-110.293280000000&zoom=15&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
3,31.50571667,-110.67622,31.50571667,-110.67622,31.51,-110.65333,2.1700045508898533,0.47628522301667714,2.221658691783083,14,640,2,640,1280,terrain,png32,16.94568210046248,5.213543616467933,0.832448986917649,True,data\maps\base\terrain\base_003.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=31.505716670000,-110.676220000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
4,31.72261664,-110.18783,31.72261664,-110.18783,31.741767,-110.19178,-0.3735640042650694,2.129425816701166,2.1619445809990485,14,640,2,640,1280,terrain,png32,16.94568210046248,5.201409043860331,0.8187880625211392,True,data\maps\base\terrain\base_004.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=31.722616640000,-110.187830000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
5,31.83521665,-110.3567,31.83521665,-110.3567,31.862267,-110.39655,-3.763992099628278,3.00786583859511,4.818183547999575,13,640,2,640,1280,terrain,png32,16.94568210046248,10.390160357435061,0.7245301266086457,True,data\maps\base\terrain\base_005.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=31.835216650000,-110.356700000000&zoom=13&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
6,31.90240002,-109.27847,31.90240002,-109.27847,31.8395,-109.27667,0.1699762590591268,-6.994172770590905,6.996237893843489,12,640,2,640,1280,terrain,png32,16.94568210046248,20.765177881407578,0.6736443877856925,True,data\maps\base\terrain\base_006.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=31.902400020000,-109.278470000000&zoom=12&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
7,31.92245,-109.96732,31.92245,-109.96732,31.921483,-110.03358,-6.253548578906841,-0.10752564258614065,6.254472829261922,12,640,2,640,1280,terrain,png32,16.94568210046248,20.760653172268402,0.6024423727920262,True,data\maps\base\terrain\base_007.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=31.922450000000,-109.967320000000&zoom=12&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
8,32.01236667,-109.31572,32.01236667,-109.31572,31.99935,-109.3078,0.7467985858813462,-1.4473896650233047,1.6286942514884017,14,640,2,640,1280,terrain,png32,16.94568210046248,5.185082571108747,0.5582899192727044,True,data\maps\base\terrain\base_008.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=32.012366670000,-109.315720000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
9,32.33333333,-110.85283,32.33333333,-110.85283,32.3715,-110.86467,-1.1121851959376483,4.243945932896263,4.387258014904921,13,640,2,640,1280,terrain,png32,16.94568210046248,10.333684714719887,0.8213809594656872,True,data\maps\base\terrain\base_009.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=32.333333330000,-110.852830000000&zoom=13&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
10,32.33583333,-110.91017,32.33583333,-110.91017,32.3665,-110.88017,2.8180757581848472,3.4099828311455243,4.423746536345858,13,640,2,640,1280,terrain,png32,16.94568210046248,10.333399295470755,0.6599924639784621,True,data\maps\base\terrain\base_010.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=32.335833330000,-110.910170000000&zoom=13&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
11,32.33699999,-110.91667,32.33699999,-110.91667,32.359833,-110.89767,1.7848355760721528,2.53891837892299,3.103505190456837,13,640,2,640,1280,terrain,png32,16.94568210046248,10.333266093849643,0.49140675481765705,True,data\maps\base\terrain\base_011.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=32.336999990000,-110.916670000000&zoom=13&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
12,32.40916665,-110.70983,32.40916665,-110.70983,32.400833,-110.69233,1.642898456404349,-0.9266608803886721,1.8862173015754085,14,640,2,640,1280,terrain,png32,16.94568210046248,5.162509124429162,0.636472853337963,True,data\maps\base\terrain\base_012.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=32.409166650000,-110.709830000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
13,32.41976668,-110.74733,32.41976668,-110.74733,32.3655,-110.77583,-2.67594397803234,-6.034187836608,6.600916436145499,12,640,2,640,1280,terrain,png32,16.94568210046248,20.647610807132047,0.5844925975187101,True,data\maps\base\terrain\base_013.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=32.419766680000,-110.747330000000&zoom=12&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
14,32.43543332,-110.78933,32.43543332,-110.78933,32.428833,-110.79433,-0.4692584085366618,-0.7339231119674356,0.8711180101936038,15,640,2,640,1280,terrain,png32,16.94568210046248,2.5805030486387985,0.5688217360212584,True,data\maps\base\terrain\base_014.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=32.435433320000,-110.789330000000&zoom=15&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
15,32.82141666,-111.20212,32.82141666,-111.20212,32.824667,-111.22717,-2.340738116706958,0.36142181708637444,2.368476436852288,13,640,2,640,1280,terrain,png32,16.94568210046248,10.277589015083825,0.45550335069277276,True,data\maps\base\terrain\base_015.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=32.821416660000,-111.202120000000&zoom=13&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
16,33.37055,-111.11522,33.37055,-111.11522,33.375283,-111.08918,2.4180717662624045,0.526286314745495,2.474681457031617,13,640,2,640,1280,terrain,png32,16.94568210046248,10.213585426760945,0.47350106064159153,True,data\maps\base\terrain\base_016.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=33.370550000000,-111.115220000000&zoom=13&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
17,33.38884999,-111.36565,33.38884999,-111.36565,33.4012,-111.37517,-0.8838014782401356,1.3732603528355782,1.6330796190320078,14,640,2,640,1280,terrain,png32,16.94568210046248,5.105718153356258,0.5379303406839493,True,data\maps\base\terrain\base_017.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=33.388849990000,-111.365650000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
18,33.39680001,-111.34805,33.39680001,-111.34805,33.4215,-111.3605,-1.1556239242858755,2.746517369817683,2.979735603677128,13,640,2,640,1280,terrain,png32,16.94568210046248,10.210502345150623,0.537978892120252,True,data\maps\base\terrain\base_018.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=33.396800010000,-111.348050000000&zoom=13&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
19,33.39705,-111.34787,33.39705,-111.34787,33.409333,-111.31717,2.849806258453449,1.3658091705080946,3.160194657041139,13,640,2,640,1280,terrain,png32,16.94568210046248,10.21047297335084,0.5582123895516682,True,data\maps\base\terrain\base_019.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=33.397050000000,-111.347870000000&zoom=13&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
20,33.39733334,-111.348,33.39733334,-111.348,33.441667,-111.36767,-1.8255753979919151,4.9296848807461116,5.256854398192295,12,640,2,640,1280,terrain,png32,16.94568210046248,20.42087936592245,0.4828082858148189,True,data\maps\base\terrain\base_020.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=33.397333340000,-111.348000000000&zoom=12&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
21,33.39750001,-111.34783,33.39750001,-111.34783,33.415667,-111.365,-1.5937870699813306,2.0200799106515057,2.5731070741501467,14,640,2,640,1280,terrain,png32,16.94568210046248,5.105210050165787,0.7913797437525241,True,data\maps\base\terrain\base_021.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=33.397500010000,-111.347830000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
22,33.47801666,-111.43767,33.47801666,-111.43767,33.415667,-111.36478,6.762799919775809,-6.932975446233766,9.685122559783917,12,640,2,640,1280,terrain,png32,16.94568210046248,20.401899647031026,0.6796401870590205,True,data\maps\base\terrain\base_022.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=33.478016660000,-111.437670000000&zoom=12&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
23,33.60398331,-112.51512,33.60398331,-112.51512,33.590333,-112.52283,-0.714098628352278,-1.5178473156621086,1.677437724279571,14,640,2,640,1280,terrain,png32,16.94568210046248,5.093046682438839,0.5960468891423071,True,data\maps\base\terrain\base_023.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=33.603983310000,-112.515120000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
24,33.70541668,-111.33805,33.70541668,-111.33805,33.67915,-111.31695,1.952119541275409,-2.9207255900684337,3.5130340884926596,13,640,2,640,1280,terrain,png32,16.94568210046248,10.174094563315997,0.5741494875818206,True,data\maps\base\terrain\base_024.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=33.705416680000,-111.338050000000&zoom=13&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
25,34.0927,-111.42465,34.0927,-111.42465,34.068767,-111.43592,-1.0379353643176732,-2.661231855229092,2.8564776858085756,13,640,2,640,1280,terrain,png32,16.94568210046248,10.12798890167966,0.5255202945152802,True,data\maps\base\terrain\base_025.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=34.092700000000,-111.424650000000&zoom=13&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
26,34.09278333,-111.42098,34.09278333,-111.42098,34.102333,-111.49033,-6.3856711661313765,1.0618763218535845,6.473358925328305,12,640,2,640,1280,terrain,png32,16.94568210046248,20.25595786292781,0.6304980696882618,True,data\maps\base\terrain\base_026.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=34.092783330000,-111.420980000000&zoom=12&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
27,34.55,-111.63333,34.55,-111.63333,34.55,-111.61667,1.5257857910748083,0.0,1.5257857893460076,14,640,2,640,1280,terrain,png32,16.94568210046248,5.036476104468316,0.6058941845156953,True,data\maps\base\terrain\base_027.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=34.550000000000,-111.633330000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
28,34.55976664,-111.65395,34.55976664,-111.65395,34.540067,-111.70348,-4.536149206277153,-2.1905030503715928,5.037355688467349,12,640,2,640,1280,terrain,png32,16.94568210046248,20.143539538345173,0.4503825355660216,True,data\maps\base\terrain\base_028.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=34.559766640000,-111.653950000000&zoom=12&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
29,34.6,-112.55,34.6,-112.55,34.633333,-112.63333,-7.625556945208117,3.706465609424235,8.478620096813646,12,640,2,640,1280,terrain,png32,16.94568210046248,20.133791321917617,0.7574884256306905,True,data\maps\base\terrain\base_029.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=34.600000000000,-112.550000000000&zoom=12&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
30,34.63041668,-112.5553,34.63041668,-112.5553,34.627233,-112.54577,0.8719658119128727,-0.35400955303861253,0.9410882741517418,15,640,2,640,1280,terrain,png32,16.94568210046248,2.5158018771558894,0.6931911609022479,True,data\maps\base\terrain\base_030.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=34.630416680000,-112.555300000000&zoom=15&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
31,34.82166665,-111.80667,34.82166665,-111.80667,34.818333,-111.79833,0.761321861608694,-0.37068547921993295,0.8467695676707752,15,640,2,640,1280,terrain,png32,16.94568210046248,2.5099881744106045,0.6066338235139037,True,data\maps\base\terrain\base_031.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=34.821666650000,-111.806670000000&zoom=15&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
32,34.82386665,-111.77513,34.82386665,-111.77513,34.831667,-111.743,2.932729594402151,0.867360544100047,3.058302974077667,13,640,2,640,1280,terrain,png32,16.94568210046248,10.03968453998046,0.5842274391637128,True,data\maps\base\terrain\base_032.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=34.823866650000,-111.775130000000&zoom=13&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
33,34.86666667,-111.88333,34.86666667,-111.88333,34.866667,-111.8,7.602516764014212,3.669437635281792e-05,7.602516545128829,12,640,2,640,1280,terrain,png32,16.94568210046248,20.068929414986794,0.7576404906120117,True,data\maps\base\terrain\base_033.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=34.866666670000,-111.883330000000&zoom=12&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
34,34.88683332,-111.784,34.88683332,-111.784,34.902667,-111.78683,-0.2581035916160328,1.7606273179920933,1.7794454236694093,14,640,2,640,1280,terrain,png32,16.94568210046248,5.016001634632503,0.7020042839842837,True,data\maps\base\terrain\base_034.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=34.886833320000,-111.784000000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
35,34.89333331,-111.86333,34.89333331,-111.86333,34.906667,-111.87603,-1.1582000390604215,1.4826407293586181,1.8813959833437681,14,640,2,640,1280,terrain,png32,16.94568210046248,5.015604824423011,0.591211142528231,True,data\maps\base\terrain\base_035.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=34.893333310000,-111.863330000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
36,34.90286668,-111.81313,34.90286668,-111.81313,34.891833,-111.80482,0.7578703065507828,-1.2268909328715893,1.4420917994421643,14,640,2,640,1280,terrain,png32,16.94568210046248,5.015022716216698,0.48928629132796764,True,data\maps\base\terrain\base_036.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=34.902866680000,-111.813130000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
37,34.91666667,-111.8,34.91666667,-111.8,34.966667,-111.86667,-6.077008082878967,5.559790706053471,8.236582591802325,12,640,2,640,1280,terrain,png32,16.94568210046248,20.05671936783903,0.6059822617474976,True,data\maps\base\terrain\base_037.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=34.916666670000,-111.800000000000&zoom=12&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
38,34.92530003,-111.7341,34.92530003,-111.7341,34.897333,-111.74117,-0.6446729040446035,-3.109796144743536,3.1759148594679174,13,640,2,640,1280,terrain,png32,16.94568210046248,10.027304773285612,0.6202656077690076,True,data\maps\base\terrain\base_038.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=34.925300030000,-111.734100000000&zoom=13&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
39,34.97868334,-111.89643,34.97868334,-111.89643,34.946833,-111.88967,0.6160192895549804,-3.541601111765905,3.5947765126242204,13,640,2,640,1280,terrain,png32,16.94568210046248,10.020776809050018,0.7068516102598743,True,data\maps\base\terrain\base_039.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=34.978683340000,-111.896430000000&zoom=13&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
40,35.1938,-114.05703,35.1938,-114.05703,35.208717,-114.13195,-6.807312460827422,1.6586970118432722,7.006480990472413,12,640,2,640,1280,terrain,png32,16.94568210046248,19.988766455271083,0.6811138122064874,True,data\maps\base\terrain\base_040.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=35.193800000000,-114.057030000000&zoom=12&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
